name,ID,tags
Koshambri,141,moong dal  cucumb  curry leav  green chili  lemon juicevegetarianspicykarnatakasouth
Kothamali sadam,142,chana d  urad d  gooseberri  raw ric  curry leavesvegetarianspicytamil nadusouth
Kuzhakkattai,143,sesame oil  raw ric  jaggeri  grated coconutvegetarianspicytamil nadusouth
Kuzhambu,144,pearl onion  urad d  drumstick  tomato  curry leavesvegetarianspicytamil nadusouth
Masala Dosa,145,chana d  urad d  potato  idli ric  thick pohavegetarianspicy-1south
Pachadi,146,coconut oil  cucumb  curd  curry leav  mustard seedsvegetarian-1-1south
Paniyaram,147,yogurt  ginger  curry leav  baking soda  green chillivegetarian-1tamil nadusouth
Papadum,148,lentil  black pepp  vegetable oilvegetarianspicykeralasouth
Paravannam,149,raw ric   jaggeri  milkvegetarianspicykeralasouth
Payasam,150,rice  cashew nut  milk  raisin  sugarvegetariansweet-1south
Paruppu sadam,151,arhar d  sambar powd  tomato  curry leav  fennel seedsvegetarian-1tamil nadusouth
Pesarattu,152,green moong bean  rice flourvegetarianspicyandhra pradeshsouth
Poriyal,153,chana d  urad d  bean  coconut  mustardvegetarianspicytamil nadusouth
Puli sadam,154,urad d  lemon  tamarind  cooked ric  curry leavesvegetarian-1tamil nadusouth
Rasam,155,tomato  curry leav  garlic  mustard se  hot watervegetarianspicy-1south
Puttu,156,brown rice flour  sugar  grated coconutvegetarian-1keralasouth
Sambar,157,pigeon pea  eggplant  drumstick  sambar powd  tamarindvegetarianspicy-1south
Sandige,158,thin rice flak  black sesame se  curry leavesvegetarian-1karnatakasouth
Sevai,159,sevai  parboiled ric  steamervegetarian-1-1south
Thayir sadam,160,urad d  curd  sesame oil  ginger  curry leav  mustard seedsvegetarian-1tamil nadusouth
Theeyal,161,coconut  whole red bean  masala  sesame oil  tamarindvegetarian-1keralasouth
Uttapam,162,chana d  urad d  thick poha  tomato  buttervegetarianspicy-1south
Vada,163,urad d  ginger  curry leav  green chili  black peppervegetarianspicy-1south
Chicken Varuval,164,meat curry powd  chicken chunk  ginger  tomato  cinnamonnon vegetarianspicytamil nadusouth
Upma,165,chana d  urad d  ginger  curry leav  sugarvegetarianspicy-1-1
Amti,166,kala masala  arhar d  curry leav  mustard se  hot watervegetarianspicymaharashtrawest
Zunka,167,gram flour  mustard  garlic  turmer  red chillivegetarianspicymaharashtrawest
Kolim Jawla,168,baingan  fish  coconut oil  fresh coconut  gingernon vegetarianspicymaharashtrawest
Saath,169,urad d  potato  wheat flour  soojivegetarianspicygujaratwest
Bajri no rotlo,170,wheat flour  pearl millet flour  hot watervegetarianspicygujaratwest
Coconut vadi,171,condensed milk  mawa  desiccated coconut  almond  cashewsvegetariansweetmaharashtrawest
Bhakri,172,jowar flour  sesame seedsvegetarian-1maharashtrawest
Bombil fry,173,bombay duck  malvani masala  rice flour  bombay rava  green chiliesnon vegetarianspicymaharashtrawest
Chakali,174,rice flour  sesam  plain flour  turmer  red chillivegetarianspicymaharashtrawest
Chevdo,175,citric acid  fri  raisin  sugar  chana daalvegetarianspicygujaratwest
Chorafali,176,urad d  bengal gram flour  dried mango  baking soda  black saltvegetarianspicygujaratwest
Copra paak,177,condensed milk  nestle cream  coconut ic  red food color  desiccated coconutvegetarian-1gujaratwest
Daal Dhokli,178,whole wheat flour  dal  kokum  gur  bengal gram flourvegetarianspicygujaratwest
Kutchi dabeli,179,pav  aloo  peanut  pomegran  star anisevegetarianspicygujaratwest
Dahi vada,180,urad d  bhuna chana  garam masala  date  tamarindvegetarian-1maharashtrawest
Dalithoy,181,arhar d  coconut oil  curry leav  mustard se  red chillivegetarian-1maharashtrawest
Dhokla,182,rava  coconut  gram flour  mustard  sesamevegetarianspicygujaratwest
Dudhi halwa,183,bottle gourd  green  raisin  sugar  clarified buttervegetariansweetgujaratwest
Gatta curry,184,yogurt  besan  sauc  garam masala powd  gram flourvegetarianspicyrajasthanwest
Gud papdi,185,wheat flour  jaggeri  clarified butt  sliced almondsvegetariansweetgujaratwest
Ghooghra,186,dry fruit  semolina  all purpose flourvegetarianspicygujaratwest
Handwo,187,bottle gourd  chana d  cabbag  urad d  toor dalvegetarianspicygujaratwest
Halvasan,188,whole wheat rava  chia se  lemon  edible gum  litre milkvegetariansweetgujaratwest
